name,company,technology,job,location,salary
Data Platform Engineer/Consultant,Elitmind,"Business Intelligence, english, sql, etl",data engineer,"{'city': 'Zdalnie   \xa0+4', 'country': 'N/A', 'remotely': True}","{'low': '13944', 'high': '19992', 'currency': 'PLN'}"
Senior Data Engineer,Adaptiq,"Data, python, spark, kafka",data engineer,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '26062', 'high': '28067', 'currency': 'PLN'}"
ETL/ Data Engineer,Sofomo,"Data, sql, etl, powerbi",data engineer,"{'city': 'Zdalnie   \xa0+6', 'country': 'N/A', 'remotely': True}","{'low': '11000', 'high': '15000', 'currency': 'PLN'}"
Senior Data Engineer,hubQuest,"Data, python, sql, etl",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '30000', 'high': '40000', 'currency': 'PLN'}"
Data Engineer,Fizetési Pont Kft.,"Data, python, data pipelines, azure data",data engineer,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '14439', 'high': '17771', 'currency': 'PLN'}"
Senior Data Engineer,Link Group,"Data, sql, python, airflow",data engineer,"{'city': 'Kraków', 'country': 'N/A', 'remotely': False}","{'low': '24000', 'high': '28000', 'currency': 'PLN'}"
Middle Data Engineer (Support team),N-iX,"Data, python, sql, spark",data engineer,"{'city': 'Zdalnie   \xa0+2', 'country': 'N/A', 'remotely': True}","{'low': '14835', 'high': '16840', 'currency': 'PLN'}"
Data Science Engineer,Connectis_,"Data, python, machine learning, aws",data engineer,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '16000', 'high': '20000', 'currency': 'PLN'}"
Senior Data Engineer,AVENGA,"Data, python, sql, aws",data engineer,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '25200', 'high': '28560', 'currency': 'PLN'}"
Data Engineer - remote,Directio Sp. z o.o.,"Data, python, hadoop, flink",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '21000', 'high': '28500', 'currency': 'PLN'}"
Senior Data and AI Engineer,GetInData | Part of Xebia,"AI, python, databricks, airflow",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '25200', 'high': '33600', 'currency': 'PLN'}"
Data Engineer,Unit8 SA,"Data, sql, data engineering, team player",data engineer,"{'city': 'Kraków', 'country': 'N/A', 'remotely': False}","{'low': '20000', 'high': '26000', 'currency': 'PLN'}"
Data Engineer,Unit8 SA,"Data, sql, data engineering, team player",data engineer,"{'city': 'Wrocław', 'country': 'N/A', 'remotely': False}","{'low': '20000', 'high': '26000', 'currency': 'PLN'}"
Data Engineer,ComScore,"Data, spark, java, linux",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '20000', 'high': '25000', 'currency': 'PLN'}"
Senior Big Data Engineer (Scala/Python) - Data&AI,Allegro,"Data, scala, python, java",data engineer,"{'city': 'Warszawa   \xa0+1', 'country': 'N/A', 'remotely': False}","{'low': '16100', 'high': '23200', 'currency': 'PLN'}"
Senior Data Engineer - Machine Learning Research,Allegro,"Data, degree, python, git",data engineer,"{'city': 'Warszawa   \xa0+1', 'country': 'N/A', 'remotely': False}","{'low': '16100', 'high': '23200', 'currency': 'PLN'}"
Senior Data Engineer - FP&A,Allegro,"Data, sql, python, gcp",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '16100', 'high': '23200', 'currency': 'PLN'}"
Senior Data Engineer (AWS),GetInData | Part of Xebia,"Data, aws, python, sql",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '26880', 'high': '33600', 'currency': 'PLN'}"
Senior Data Engineer (GCP),GetInData | Part of Xebia,"Data, gcp, python, sql",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '26880', 'high': '33600', 'currency': 'PLN'}"
Senior Data Engineer (Azure),GetInData | Part of Xebia,"Data, microsoft azure, python, sql",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '26880', 'high': '33600', 'currency': 'PLN'}"
Data Engineer,Knowit,"Data, sql, data warehouse, power bi",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '16800', 'high': '23520', 'currency': 'PLN'}"
Data Engineer,Proxet,"Data, data engineering, data warehouse, etl",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '20048', 'high': '34081', 'currency': 'PLN'}"
"Azure Data Engineer (Remote, full / part-time)",10 Senses,"Data, sql, azure synapse, azure synapse analytics",data engineer,"{'city': 'Zdalnie   \xa0+5', 'country': 'N/A', 'remotely': True}","{'low': '25200', 'high': '31920', 'currency': 'PLN'}"
Data Engineer,Harvey Nash Technology,"Data, spark, snowflake, mysql",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '22000', 'high': '26000', 'currency': 'PLN'}"
Data Engineer,Photon Energy Group,"Data, python, kafka, data pipelines",data engineer,"{'city': 'Zdalnie   \xa0+5', 'country': 'N/A', 'remotely': True}","{'low': '16000', 'high': '24000', 'currency': 'PLN'}"
Big Data Engineer,Devire Sp. z o.o.,"Data, spark, degree, big data",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '23520', 'high': '33600', 'currency': 'PLN'}"
Data Engineer,Connectis_,"Data, azure, azure data lake, azure databricks",data engineer,"{'city': 'Zdalnie   \xa0+3', 'country': 'N/A', 'remotely': True}","{'low': '26000', 'high': '31000', 'currency': 'PLN'}"
Junior Data Engineer Python,NIX Tech Kft.,"Data, python, data engineer, sql",data engineer,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '8885', 'high': '12217', 'currency': 'PLN'}"
Junior Data Engineer Scala,NIX Tech Kft.,"Data, scala, sql, postgresql",data engineer,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '8885', 'high': '12217', 'currency': 'PLN'}"
Data Engineer,ALLSTARSIT,"Data, python, pyspark, sql",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '28067', 'high': '30072', 'currency': 'PLN'}"
Data Ops Engineer,Roche,"Data, python, aws cloud, aws lambda",data engineer,"{'city': 'Warszawa   \xa0+1', 'country': 'N/A', 'remotely': False}","{'low': '12500', 'high': '18000', 'currency': 'PLN'}"
Data Engineer in Microsoft Azure Cloud,Avanade Poland,"Data, python, azure, sql",data engineer,"{'city': 'Zdalnie   \xa0+2', 'country': 'N/A', 'remotely': True}","{'low': '19320', 'high': '29400', 'currency': 'PLN'}"
Data Engineer (2-3yrs),Avenga,"Data, java, spark, apache spark",data engineer,"{'city': 'Gdańsk', 'country': 'N/A', 'remotely': False}","{'low': '15120', 'high': '21000', 'currency': 'PLN'}"
Financial Data Engineer,SoftKraft Sp z o.o.,"Data, python, sql, git",data engineer,"{'city': 'Zdalnie   \xa0+7', 'country': 'N/A', 'remotely': True}","{'low': '15960', 'high': '25870', 'currency': 'PLN'}"
Data Engineer,SEB (Skandinaviska Enskilda Banken),"Data, spark, ci/cd, container",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '28000', 'high': '33000', 'currency': 'PLN'}"
Data Engineer,WealthArc,"Business Intelligence, etl, sql, team player",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '10000', 'high': '13000', 'currency': 'PLN'}"
Data Infrastructure / Platform Engineer,Instructure Hungary Kft,"Data, aws, data infrastructure, infrastructure as a code",data engineer,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '15549', 'high': '24435', 'currency': 'PLN'}"
Medior/Senior Business Data Analyst / BI engineer,NIX Tech Kft.,"Business Analysis, hungarian language, dwh, sql",data engineer,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '8885', 'high': '12217', 'currency': 'PLN'}"
Medior/Senior Data Engineer Python,NIX Tech Kft.,"Data, python, sql, data engineering",data engineer,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '11107', 'high': '21103', 'currency': 'PLN'}"
Data Engineer (Support team),Centrum Informatyki Statystycznej,"Data, spark, sql, python",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '8000', 'high': '14000', 'currency': 'PLN'}"
Data Architect,STX Next,"Data, data modelling, iot, etl",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': 'N/A', 'high': 'N/A', 'currency': 'N/A'}"
Data Analysis Expert,HRK S.A.,"Data, bi, data analysis, crm",data engineer,"{'city': 'Tychy', 'country': 'N/A', 'remotely': False}","{'low': 'N/A', 'high': 'N/A', 'currency': 'N/A'}"
Product Manager - Data Center & Cloud,T-Mobile Polska,"Product Management, cloud computing, ca, angielski",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': 'N/A', 'high': 'N/A', 'currency': 'N/A'}"
Senior BI Developer - Data Enablement Tribe,T-Mobile Polska,"Business Intelligence, ci, oracle, sql",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': 'N/A', 'high': 'N/A', 'currency': 'N/A'}"
