name,company,technology,job,location,salary,location_city,location_country,location_remote,salary_low,salary_high,salary_currency,salary_avg,is_senior,is_present
Data Engineer,Talent Hills,"Data, python, spark, hive",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '14000', 'high': '20000', 'currency': 'PLN'}",warszawa,n/a,False,14000.0,20000.0,PLN,17000.0,0,True
Data Engineer,Sollers Consulting,"Data, kafka, spark, sql",data engineer,"{'city': 'Wrocław   \xa0+8', 'country': 'N/A', 'remotely': False}","{'low': '17200', 'high': '21000', 'currency': 'PLN'}",wroclaw,n/a,False,17200.0,21000.0,PLN,19100.0,0,True
Data Engineer - Product Catalogue ML,Allegro,"Data, python, big data, spark",data engineer,"{'city': 'Warszawa   \xa0+1', 'country': 'N/A', 'remotely': False}","{'low': '12300', 'high': '17600', 'currency': 'PLN'}",warszawa,n/a,False,12300.0,17600.0,PLN,14950.0,0,True
Data Engineer (inżynier danych/inżynierka danych),Alterdata.io sp. z o.o.,"Data, sql, python, problem solving",data engineer,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '7000', 'high': '11000', 'currency': 'PLN'}",n/a,N/A,True,7000.0,11000.0,PLN,9000.0,0,True
Tech Lead Data Engineer with AWS,Nordcloud,"Data, sql, python, airflow",data engineer,"{'city': 'Zdalnie   \xa0+7', 'country': 'N/A', 'remotely': True}","{'low': '28000', 'high': '30000', 'currency': 'PLN'}",n/a,N/A,True,28000.0,30000.0,PLN,29000.0,0,True
Data Engineer (Spark),GetInData | Part of Xebia,"Data, spark, python, sql",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '18480', 'high': '26880', 'currency': 'PLN'}",n/a,N/A,True,18480.0,26880.0,PLN,22680.0,0,True
Data Engineer (Delivery Experience),Allegro,"Data, gcp, sql, etl",data engineer,"{'city': 'Warszawa   \xa0+1', 'country': 'N/A', 'remotely': False}","{'low': '12300', 'high': '17600', 'currency': 'PLN'}",warszawa,n/a,False,12300.0,17600.0,PLN,14950.0,0,True
Remote Senior Data Engineer,Kingfisher plc.,"Data, python, aws, sql",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '22000', 'high': '25000', 'currency': 'PLN'}",n/a,N/A,True,22000.0,25000.0,PLN,23500.0,1,True
Remote Mid Data Engineer,Kingfisher plc.,"Data, python, aws, data modelling",data engineer,"{'city': 'Zdalnie   \xa0+2', 'country': 'N/A', 'remotely': True}","{'low': '15000', 'high': '19000', 'currency': 'PLN'}",n/a,N/A,True,15000.0,19000.0,PLN,17000.0,0,True
Azure Data Engineer,JSS Associates,"Data, data engineering, etl, power bi",data engineer,"{'city': 'Poznań', 'country': 'N/A', 'remotely': False}","{'low': '23100', 'high': '27300', 'currency': 'PLN'}",poznan,n/a,False,23100.0,27300.0,PLN,25200.0,0,True
